dataset_id,last_name,given_name,ORCID,affiliation,additional_role
He_2011,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",
Henery_2001,Henery,Martin,,"Parks Australia, Department of Agriculture, Water and the Environment, Australia",contact
Henery_2001,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Hocking_1982,Hocking,Peter,,"Murdoch University, Australia",
Hocking_1986,Hocking,Peter,,"Murdoch University, Australia",
Huang_2015,Huang,Guomin,0000-0002-7597-9386,"Nanchang Institute of Technology, Nanchang, China",
Huang_2015,Tissue,David,0000-0002-8497-2047,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Huang_2015,Smith,Renee,,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Hughes_1992,Hughes,Lesley,0000-0003-0313-9780,"Department of Biological Sciences, Macquarie University, Australia",
Hughes_1992,Rice,Barbara,,"Department of Biological Sciences, Macquarie University, Australia",
Hughes_1992,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",contact
Hughes_2005,Hughes,Kate,,unknown,
Hughes_2005,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Hutton_1994,Hutton,B.J.,unknown,"Kings Park and Botanic Garden, Perth, WA",
Hyland_2003,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Ilic_2000,Ilic,Jugoslav,0000-0001-5692-5596,"University of Melbourne, Australia",contact
Islam_1999_1,Islam,Muhammad,,unknown,
Islam_1999_1,Adams,Mark,0000-0002-8154-0097,"Swinburne University of Technology, Australia",contact
Islam_1999_2,Islam,Muhammad,,unknown,
Islam_1999_2,Adams,Mark,0000-0002-8154-0097,"Swinburne University of Technology, Australia",contact
Jagdish_2020,Jagdish,Ashika,,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Jagdish_2020,Moles,Angela,0000-0003-2041-7762,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
Jin_2019,Jin,Daniel,0000-0001-7492-9830,"School of Life and Environmental Sciences, The University of Sydney, Australia",contact
Jin_2019,Hochuli,Dieter,0000-0002-6673-4475,"School of Life and Environmental Sciences, The University of Sydney, Australia",
Jordan_2001,Jordan,Gregory,0000-0002-6033-2766,"University of Tasmania, Australia",contact
